Feature,GSM530360.CEL,GSM530362.CEL,GSM530364.CEL,GSM530366.CEL,GSM530368.CEL,GSM530370.CEL,GSM530372.CEL,GSM530374.CEL,GSM530376.CEL,GSM530378.CEL
100506233,6.872302032,6.768120471,5.77671479,5.967851435,6.984675383,7.249954549,7.358352085,7.526868669,7.475127813,7.38984804
100506243,4.038616362,4.029254203,3.830237701,3.960946003,4.01473093,3.825934707,4.012135393,4.045193321,3.944809196,4.051685491
100506299,3.96771365,4.376722702,4.483785534,4.189833454,4.286444561,4.659304341,4.459931983,4.668512262,4.870706995,4.807947029
100506302,3.602390054,3.725632232,3.786091327,3.764541053,3.480582289,3.854210301,3.870042914,3.74526654,3.913374954,3.935305517
100506311,7.234279391,7.378752059,6.526604666,6.699619238,5.012646033,5.853623575,6.438145563,6.282899977,5.717859433,6.622078527
100506314,5.968877778,5.789782601,7.026169945,7.12446205,5.058647844,5.809332919,5.134111363,5.307511538,5.488629924,5.789342821
100506325,3.601302988,3.771414115,3.77533071,3.563707424,4.463621273,3.910502524,3.724230278,4.002166413,3.739687136,3.961251221
100506365,6.927743258,7.015297021,6.914123881,6.443407253,6.672885966,6.70693137,6.610614507,6.689305302,5.972206933,6.559857426
100506377,3.391428093,3.546817676,3.530076898,3.302047982,3.260440251,3.245484627,3.189192906,3.226732553,3.274002093,3.276094752
100506405,3.883323317,4.087113104,3.742403962,3.855765465,4.117619989,4.441879855,3.758351487,3.961376506,4.215752991,3.933538868
100506409,3.387340964,3.417061714,3.341131967,3.400889737,3.325204695,3.392666938,3.446384868,3.483386434,3.356614823,3.29222562
100506436,4.208466272,4.116726681,4.242736137,4.102322053,4.224016614,4.021291258,4.145709566,4.31216207,4.085878232,4.095511687
100506451,3.231798281,3.121002518,3.442819068,3.423095399,3.447001324,3.246070906,3.360773803,3.487739297,3.464751044,3.652272192
100506470,3.64599887,3.66380747,3.936297049,3.674871753,4.044540662,3.775352759,3.832612599,4.09015339,4.204523047,3.789965678
100506473,4.629022813,4.59426669,4.419693865,4.063469169,3.935332797,4.489566258,4.543726179,4.64575736,4.428544624,4.258615898
100506475,3.552553386,3.522937268,3.540967067,3.474391055,3.715996235,3.390960691,3.461156888,3.388400604,3.421330701,3.678762054
100506527,3.650986334,3.678051898,3.726849827,3.705457334,3.638001657,3.697724093,3.877058601,3.592513989,3.86724098,3.620676306
100506542,3.420075389,3.471771669,3.463947165,3.638117126,3.447761895,3.580247595,3.44914588,3.484015191,3.733422537,3.606876383
100506621,3.46682751,3.363137983,4.09428063,4.047431677,3.504419741,3.477805005,3.48982818,3.499560283,3.660722673,3.621811588
100506639,3.554295008,3.578229596,3.724800578,3.518291633,3.588838524,3.707454236,3.623555139,3.670242423,3.776075805,3.627476807
100506649,5.203142534,4.778828301,4.161178792,4.182471745,4.275463209,4.054827351,4.856574491,4.749123119,4.225953808,4.369927503
100506658,6.021460077,6.020849326,5.124528715,4.914339729,5.578388969,5.949779622,6.832637965,6.645483924,6.789665581,7.217270531
100506668,5.921952372,5.776713713,5.467158386,5.416332651,5.883752468,5.50696197,5.497042698,5.416512452,5.706012424,5.414677164
100506677,3.926890013,3.835513243,3.643909594,3.830162807,3.694367609,3.737042561,3.784788208,3.807496689,3.749425561,3.876027302
100506686,3.990072012,3.910628183,4.112546254,4.0778376,3.926952117,4.0384687,3.969034101,3.995638648,4.231986599,4.116170149
100506691,5.210462404,4.87533115,5.495961958,4.920267902,5.12531274,4.866288497,5.412056999,5.401438171,4.51572741,5.096113071
100506696,3.780394752,3.746247779,3.779877038,3.726304327,3.55875464,3.863867929,3.61795529,3.663946004,4.192525869,3.987533688
100506710,8.130307887,8.123943025,8.545983148,8.754344856,8.432431053,8.346310165,7.727032142,7.909637005,8.275647894,8.366808655
100506713,4.132815535,4.06143575,4.252092148,4.346506288,3.892204007,4.298341892,4.283813579,4.489141934,4.520165633,4.223160304
100506714,4.433332221,4.394217722,4.594395278,4.593056602,4.274286466,4.367783075,4.333705089,4.744269821,4.497638756,4.457542518
100506757,3.272683898,3.222546987,3.320135298,3.199030146,3.238648859,3.12167277,3.21909952,3.353024805,3.26993155,3.139287047
100506769,3.919333223,3.830847705,3.672375851,3.382444473,3.629115194,3.703296644,3.484581912,3.758738665,3.662471362,3.632654465
100506776,3.496656132,3.501951507,3.524401665,3.56297333,3.587199013,3.686577836,3.49042871,3.481854507,3.786723396,3.443343152
100506779,3.197115384,3.329144268,3.434970209,3.447730623,3.411060879,3.424422066,3.418482869,3.269885196,3.101239311,3.29222562
100506783,5.994856766,5.912145546,4.614361267,4.829289301,4.001934618,4.143689738,3.455031805,3.539208068,4.67517757,3.589255812
100506790,3.897839576,4.035396209,3.838668928,3.838798956,3.801355505,3.937389984,3.8252111,3.7864244,3.771679563,3.847411605
100506795,3.36274492,3.307906331,3.391444094,3.367196573,3.361768975,3.226811771,3.291734413,3.373021073,3.436606864,3.363248366
100506815,3.89253345,3.86901602,3.761657462,3.730727652,3.715525042,3.829423065,3.626962521,3.772857612,3.519517658,3.986904595
100506834,3.305924576,3.550364131,3.658428158,3.499294262,3.521291651,3.59492285,3.474621906,3.553394322,3.500630564,3.638776657
