Feature,GSM272854.CEL,GSM272859.CEL,GSM272860.CEL,GSM272861.CEL,GSM272862.CEL,GSM272863.CEL,GSM272864.CEL,GSM272865.CEL,GSM272866.CEL,GSM272867.CEL,GSM272868.CEL,GSM272870.CEL
51691,6.52169958213397,6.1854632186866,6.48889562500642,6.33443983138238,6.24252867900315,6.42781306135744,6.49907879185408,6.65215360580588,6.75915960359712,6.66705121113822,6.57093376494047,6.3961573967614
51693,6.70572044399544,6.72168411683126,6.99012662826173,6.48713084346962,6.68917405967989,7.03183045922061,7.62646554320724,7.33322920859964,6.85934590260032,7.19970204732849,7.16179223353743,6.78198886100619
51696,5.71384719348487,5.1882116898017,5.80103557109308,5.50547244119057,5.42507814425312,5.71341385981013,6.24082054493591,5.80617987552071,6.23021023307883,6.09546967581522,5.64333894330603,5.75615314332002
517,8.63478702237969,8.41413366877616,8.67757352010942,8.56977116960891,8.53845739007481,8.43894159521499,8.5613782088351,8.33767070444875,8.7932306776668,8.7890424509047,8.85290573718645,8.92207108318273
5170,3.54968028923538,3.82968286663983,3.75558746831296,3.56515335377209,4.07043081845762,3.84701739920791,4.77030852667037,4.16181631801449,4.42220447981818,4.37525702596631,4.20012413055207,3.82327788448639
51700,3.76132010563662,3.13750976945551,3.77070249924268,3.94356657890637,3.8302120529847,2.97913309094751,4.58719493850011,4.28731568601482,3.07284368112749,4.17633818996143,3.6891536033877,3.6296490551855
51701,4.2890865920967,4.42055036232107,4.27004398442821,4.14067482868257,4.36851383918092,3.71323166550592,3.8551560322658,3.64089952820091,3.71323166550592,4.49493008747926,4.07043136303496,3.71303616689416
51703,4.50065529064617,4.21551010185881,4.62363740629567,4.14017402964455,3.98191320560006,2.90751711927913,3.48749900478539,2.87371926231874,4.33399126295309,3.71983256637687,4.57331838958153,4.31336297159585
51704,4.0342093294652,3.84293670196222,4.42792577919367,4.30072359162116,5.1263636943448,5.01516001309732,3.67032790998584,4.10045149806323,5.32598639225509,4.87682701491972,7.57252705140789,6.34649796525223
51705,7.89922173152061,8.22344219738262,8.37120424022531,7.92951988210755,7.90615758438601,6.97645344407166,5.57464435640117,6.39158154498753,6.88942134246405,5.90059710326863,6.69698477426793,6.05746699013696
51706,6.07205976702663,6.32154609230153,6.11056916072692,6.39172590764163,6.25836313811592,6.06988117247883,6.63657915571257,6.09550502288899,6.45770003493902,6.06712197465881,6.24129936603453,5.87081202181667
51714,8.27775425944832,8.20437671060319,8.28849035063221,8.28982536951072,8.19266229668371,8.2805099546926,7.9378733051572,8.59789917695536,8.51505628770998,8.27921065802319,8.38217476820829,8.15686022446978
51715,5.19519149304092,4.99990567145482,5.12705551608156,5.39087450010927,5.89355767836112,4.98429690845656,4.07630031861985,4.8335605280493,5.27780675411898,5.48374506724343,4.35036296379716,4.83650013334096
51719,7.05346528733818,6.75700115424445,7.03137256272799,7.0306130382682,6.75418508839895,6.71956504068505,7.0548989012813,6.91807452904178,6.96530020332653,7.11526877568532,6.80621911751504,6.8862856862504
5172,1.15542210479874,1.14897073654521,1.40922527160469,1.13022939625315,1.20033945655457,1.08495969837105,1.02858255244635,1.01544561518412,1.30204422283044,1.02673066406979,1.29633641252579,1.07068683807659
51720,5.24108621606227,5.02767379982719,5.16502743867596,4.98236687966914,5.15970221749402,5.31155658823715,5.49974922210029,5.15887770615415,5.37959718583747,5.54681702648942,5.87482143962495,5.70405853828978
