Feature,GSM530359.CEL,GSM530361.CEL,GSM530363.CEL,GSM530365.CEL,GSM530367.CEL,GSM530369.CEL,GSM530371.CEL,GSM530373.CEL,GSM530375.CEL,GSM530377.CEL
10116,6.194941248,6.135846156,6.385595906,6.448577663,5.979202983,6.231551535,6.180514065,6.147313089,5.989292238,6.132047752
1012,7.732689832,7.561088334,8.774024457,8.490331844,7.693146909,7.122397331,7.625491598,7.530322604,7.733775576,7.561088334
10120,7.348215173,7.156600401,7.866494937,7.690963733,7.586090069,7.687561474,7.629651721,7.537733638,7.972105268,7.829697313
10121,10.32603071,10.30907418,10.06563243,10.21052125,10.31179191,10.09248468,10.29036153,10.20843376,10.37741372,10.22915864
10123,5.791555019,6.022507884,7.642323458,7.64102697,4.849984779,5.824286214,6.065761905,5.902349979,5.579567616,5.962842388
10124,9.424893679,9.498642082,12.07322409,12.14997782,8.911224447,9.420056311,8.911314379,8.814785765,9.582107968,9.562730878
10125,3.692581247,3.699054081,3.617453603,3.785824057,3.561905214,3.646813595,3.755845656,3.711173039,3.635576137,3.948112123
10126,5.350954543,5.603221575,6.371870253,6.431242528,5.74355555,6.48985774,5.168842547,5.297273368,6.382445529,6.419930691
10128,10.66054053,10.67792592,10.47581271,10.51763728,10.18138472,10.42109895,10.471459,10.49143507,10.39069043,10.57943455
10129,9.702865841,9.867512893,8.770547275,8.674743498,8.380566839,8.888330453,9.521109102,9.60059324,8.687248235,9.853748431
10130,12.16598698,12.12853234,11.63873119,11.59566216,11.99990441,11.50653068,12.2410942,12.19857684,12.08498193,12.0788342
10131,9.615119508,9.723838105,8.50235878,8.42952036,9.020049261,8.985338833,9.363186083,9.203839377,9.115278542,9.366461896
10133,7.478146183,7.309400993,8.562967291,8.517814807,8.169196804,8.757468678,8.044041268,7.978569387,8.524430172,8.648055975
10134,10.77447175,10.860307,10.93514008,10.97732842,11.03122772,11.05131811,10.96537056,10.9697501,10.8442826,10.83143686
10135,10.94287706,10.85163139,11.11740603,11.30469926,10.65685854,11.03478709,10.97818225,11.09491412,10.61662283,11.46546222
10136,3.997788618,4.401847177,4.362844532,4.082453388,4.078561228,4.214084472,4.140957494,4.306197077,4.191540533,4.399557748
10137,9.954149413,9.8246983,9.43947534,9.525177571,9.856217835,9.582520792,10.00200382,9.968474806,9.569747758,9.628107458
10138,7.075590104,6.987665981,7.216311344,7.009658706,7.001723367,6.975717948,7.14183545,7.120449262,6.996633857,7.248412806
10139,6.971202578,6.946321651,6.644241683,6.596369012,6.875045896,6.574905338,6.769042026,6.80318675,6.870180782,6.620370259
10140,7.735389954,7.588921543,8.279705797,8.211160378,7.913292776,8.391231667,7.948366384,7.949806586,8.589134397,8.334501296
101410538,6.926902689,6.599489079,7.273286259,7.288356282,7.438007189,7.485014985,7.007080069,7.043962497,7.126892346,7.428001412
10142,4.153000051,4.125372044,4.454843306,4.712809206,3.90808064,4.241196915,3.772674376,4.447741515,4.178435946,4.501958533
10144,6.700960538,6.655875966,4.30034192,4.594229451,5.727957882,6.412675426,6.820776581,6.548791136,6.589949382,7.045851444
10146,10.46165508,10.49671645,9.985843176,10.12978586,10.3295532,10.27158951,10.53038076,10.51285965,10.2621176,10.21926584
10147,5.986683411,6.245277719,6.082463436,5.997820299,6.050140922,6.371764505,5.994669565,6.358038733,6.352971279,6.199639071
10149,4.013711038,3.871950591,4.312903776,4.357791219,4.103100633,4.145689917,4.043033786,4.053135634,3.838809551,4.174029851
10150,7.704842333,7.838515329,7.374037698,7.535900763,7.416789224,7.902517823,7.490698982,7.467265534,7.867679928,7.856900061
10151,5.525172382,5.251231135,4.778541494,4.888538122,4.989327256,4.98151046,5.098665003,5.119534569,4.888538122,4.987031629
10152,8.184355427,8.395042379,8.302556424,8.447381041,7.946173261,8.399620222,8.342886201,8.27751845,8.66586712,8.635181774
10153,9.580565503,9.59988537,9.052191237,9.127501823,9.212753131,9.103610183,9.523025138,9.55116675,9.280222096,9.154751712
10154,4.020463432,4.116276599,4.208521689,4.088170654,3.931744375,3.887796469,4.147233437,4.358121766,4.272561957,4.416573188
10155,9.793187647,9.825856891,9.443480609,9.53437863,9.446110119,9.641062158,9.830185384,9.746632423,9.801828109,9.725030987
10157,5.919387663,5.606396626,5.911558,6.088982033,5.135487636,5.748975268,5.624722028,5.837305912,5.85902766,5.903696707
10158,3.8997072,3.905153785,3.768031359,3.93439493,3.8651538,3.872330211,3.982975054,3.813800467,4.165772375,3.97500959
10159,10.68862974,10.63172447,11.1339361,11.13490731,11.04658795,11.13230268,10.95436524,10.99872234,10.96810467,11.07712355
10160,7.814333249,7.698737121,8.077484422,8.139250898,8.09792734,8.019464808,7.793817997,7.691856029,8.244818247,7.834475065
10161,8.510208821,8.698901161,10.35344215,10.33713767,8.139082672,8.708053386,8.389786226,8.460316517,9.156551107,9.75774462
10162,5.786686981,5.722372503,5.131846301,5.193246262,5.618696276,5.293270098,5.538062073,5.372530884,5.218370194,5.042945326
10163,8.811659202,8.717958647,9.972788685,10.14354434,8.939141513,9.485464196,9.324726896,9.197536642,9.151016914,9.425930158
10164,4.713306627,4.717073614,4.553082731,4.797805916,4.966684788,4.796768901,4.836676699,4.772874467,4.837476561,4.947706222
10165,8.553056887,8.349615637,7.49624244,7.572052578,8.145243819,7.787030043,8.216799026,8.127494993,8.0189972,7.797455044
10166,8.524076488,8.902931861,7.318886183,7.022652994,8.055172543,7.603204803,8.757652821,8.512098413,8.06706303,8.16054205
10168,4.782304845,5.033903832,5.037826087,5.074576641,4.958034407,5.238081983,5.100238975,4.96838252,5.177762267,5.246394412
1017,9.079331369,8.928042756,8.0802925,8.179870295,8.612948725,8.170100526,8.956468597,8.876491525,8.546156546,8.637621224
10170,4.468867953,4.751479238,4.299598254,4.199523338,5.744392175,5.191090746,5.002907392,4.977281338,5.283957456,4.452714863
10171,7.788137491,7.737496967,7.300767741,7.183863138,7.558364216,7.400012941,7.707747624,7.79742624,7.346318441,7.474656062
10174,6.43119221,6.553618447,6.38938936,6.330418001,6.480413058,6.174925599,6.581459897,6.451847757,6.648663635,6.33717077
10175,11.50801049,11.34472696,11.37381208,11.38278245,11.12425182,11.24492186,11.2071748,11.21930074,11.09469141,11.31429047
10178,3.724862912,3.953809877,3.945980094,3.974363865,3.813473691,3.938037327,4.056465189,3.962574772,4.111719684,3.880221287
10179,10.64514989,10.71772968,10.56613577,10.59981414,10.44598028,10.55632984,10.4914883,10.47484957,10.66247542,10.42451005
10180,7.971910958,7.698381688,8.08769044,8.157463889,7.74354338,8.041920962,7.637329109,7.709904035,7.920439428,7.935932747
10181,8.801933447,8.594976318,9.332071587,9.451068517,8.513347388,8.988965638,8.679155208,8.583354865,8.924855424,8.863160606
10184,8.944335469,8.706087179,9.201031201,9.218326756,8.779882709,9.159650596,8.999644183,8.934471095,8.992413657,9.116782335
10186,7.925274212,8.08091064,9.439809128,9.417203818,9.050190038,8.758155982,9.037098521,9.096781436,8.416338449,9.027228973
10188,4.890668394,4.928521754,5.468094046,5.392605341,5.178491892,5.041529864,4.840204568,4.930138374,5.200193705,5.16609961
1019,10.89242072,10.91936884,10.46465618,10.53852411,10.29139807,10.69582621,10.78657029,10.72946603,10.56642855,10.69876329
10190,11.10832257,11.17808177,10.95516857,10.98478568,11.10926474,11.20709963,11.21207191,11.14370708,10.97414049,11.01568184
101926913,3.782197223,3.851692932,4.144542897,3.86460812,3.947442044,3.686400112,3.995162871,4.096972903,3.85649124,3.805892106
101927498,3.856260606,3.694105172,4.032340946,3.765059801,3.947739033,3.809291384,3.828798724,3.784089702,3.652991849,3.675723972
101927770,3.967436345,4.030527459,3.932204348,4.001412391,3.761037453,3.64610489,3.893558705,3.846908064,3.911014532,3.878660768
101928104,4.213630591,4.316605052,4.452993482,4.369812394,4.289758048,4.064236827,4.136052987,4.230756856,4.226503887,4.219795971
101928378,4.2872964,4.289780194,4.160055395,4.391316799,4.125877786,4.237219138,4.156337552,4.396207724,4.291012239,4.145191353
101928649,5.905887792,6.198520241,6.65322945,6.751685435,6.066275105,6.081732689,5.819865859,6.316856388,6.324305282,6.339777728
101929073,4.064702766,4.180663658,4.326075535,4.286677671,4.152268388,4.21017377,4.076509039,3.863143568,4.220903947,4.061785368
101929148,3.636727944,3.532709925,3.746686019,3.417088672,3.662731128,3.513713229,3.606624203,3.607684975,3.596093881,3.660245345
101929726,4.168781036,4.14365845,4.699004946,4.630774947,4.18174763,4.361337291,4.280397702,4.036226036,3.871607546,4.40654636
10193,7.865233741,7.860771607,7.659582417,7.748668544,8.276717163,8.219173416,8.065614008,8.036813486,8.328027473,8.457421127
10195,8.110689699,8.058829165,7.936027246,7.830763553,8.062569139,8.185586005,8.100220981,7.926636305,7.881812836,7.845531953
10196,8.882765297,8.811911907,7.417695938,7.643829585,8.259297105,8.334091137,8.467668675,8.575784641,8.045010391,8.355777455
10197,9.976674247,9.869122862,9.011468081,8.997345202,9.769433702,9.168304453,9.861834571,9.817489521,9.560631065,9.353832485
10198,6.087721714,6.204184081,5.942585806,6.094444727,5.61466874,5.179907512,6.245706795,6.317906509,5.450756361,6.137520251
10199,9.449261048,9.387805619,9.030066107,9.093173532,9.499198712,8.889858063,9.252583078,9.345779587,8.995634841,8.820923152
102,9.455675762,9.498480199,9.79978766,9.985680964,9.436851178,9.291074613,9.675838357,9.726950347,9.532639652,9.465111079
1020,8.10092968,8.118114252,8.017802409,8.062138305,7.893027974,7.966923486,7.476524186,7.485974525,7.935533642,7.644902793
10200,10.91231918,10.77827669,10.14913337,10.17141095,10.58854623,10.37620306,10.70895998,10.74048337,10.38420396,10.42363348
10201,6.819670002,6.820152504,6.40766183,6.690085021,6.81235334,6.59378279,6.674443576,6.769890274,6.441735795,6.27483297
10202,3.670559554,3.746651809,3.681891076,3.868494381,3.754247534,3.649487659,3.851950838,3.788746236,3.78930149,3.749341008
10203,10.05701108,10.14766178,11.25754333,11.4138669,10.17044749,10.45440478,10.40686178,10.40866855,10.6535551,11.04514941
10204,11.11268436,11.12970283,10.70193267,10.82741785,11.06566697,10.98671872,10.73398608,10.63726493,10.96021914,10.88388029
10205,8.333964412,8.360621265,6.84737983,6.768423741,9.630006538,10.33271707,9.257341504,9.419972471,10.34384161,10.19361663
10206,8.731431478,8.612524364,9.229978951,9.283886114,8.643837842,9.069051991,8.589516796,8.625219119,8.85596714,8.852168512
10207,3.724289966,3.73927233,3.808298116,3.80196223,3.651650384,3.682948558,3.778697509,3.69379514,3.837477744,3.948805288
10208,8.376292358,8.41698551,7.76068318,7.939337945,8.11362996,7.963405361,8.215740321,8.197710607,8.267970312,8.074380609
10209,4.891117642,4.988820294,5.379440073,5.28595783,5.204247579,5.452692006,5.048609592,5.015040388,5.161661301,5.492057468
1021,4.159294563,4.368635126,4.289682882,4.319443254,4.375251862,4.32093523,4.335724327,4.229780372,4.382042024,4.056047873
10210,7.919937683,7.89332326,8.242033026,8.381646266,8.10016748,8.229535675,8.299787663,8.39546852,7.837591349,8.050235911
